"joke_id","jokes","category","rating"
1,"Американец, англичанин и русский хвалятся, что заставят кошку съесть горчицу. Американец хватает кошку и запихивает горчицу ей в пасть.
- Это насилие! - протестует русский.
Англичанин кладет горчицу между двумя кусочками колбасы, и кошка съедает.
- Это обман! - протестует русский, после чего мажет горчицей кошке под хвостом, и кошка с воем вылизывает.
- Обратите внимание, - говорит русский, - добровольно и с песней.","russian","1"
2,"Русский и англичанин были приглашены на свадьбу. Их места за свадебным столом оказались рядом, и они разговорились о подарках молодоженам.
- Я принес чайный сервиз на двенадцать персон, - скромно сказал англичанин.
- А я, - гордо провозгласил русский, - ситечко для чая на 88 человек.","russian","0"
3,"Летит самолет полярной авиации АН-2 в районе полюса, вдруг движок застучал. Только сели, как рядом садится радио разведчик еF-111.
Наши:
- Ребята, вы что? Американцы:
- Вынужденная... Наши:
- О, у нас тоже!
Ну, достали спиртику, распили за дружбу народов. Наш пилот - штатовскому:
- Вот, Починимся, я тебя на своей ""Аннушке"" только так по скорости на любой высоте... Наступило утро, похмелились, починились. Наш пилот - бортмеханику:
- Вась, а о чем я вчера с американцами спорил? Бортмеханик:
- Да, говорил, что по скорости их обгоним... Пилот:
- Что делать будем? Бортмеханик:
- Ладно, придумаем...
Перед взлетом наши зацепили трос за гак на еF-111, взлетели. В американском самолете. Штурман:
- Джон, русские 100м на хвосте, измени геометрию крыла. Через некоторое время:
- Джон, русский опять на хвосте, включи форсаж турбин. Еще через некоторое время:
- Джон, мы прое$%$, русские только начали изменять геометрию крыла....","russian","2"
4,"На берегу голубого Дуная чех, русский и словак ловят рыбу.
Как водится, поймали Золотую Рыбку. Она, естественно, просит отпустить за три желания - по одному на брата.
Чех (вспомнив 1968):
- Сделай так, чтобы не стало русских! Русский (обидевшись):
- Пусть не станет чехов! З.Рыбка (Словаку):
- Ну, а ты чего хочешь? Словак:
- А ты исполнишь желания этих двух парней?
- Да, конечно, - я же обещала.
- Ну, тогда - чашечку кофе!","russian","0"
5,"Поймали людоеды немца, француза, русского и американцав
джунглях. Говорят пленникам: прежде, чем вас сожрать, мы исполним ваши последние желания. Немец захотел пива. Людоеды обшарили все джунгли - принесли ему кружку баварского пива. Потом его съели. Француз захотел... женщину. Короче, тоже было исполнено. И потом тоже был съеден. Настала очередь русского.
- Твое последнее желание?
- Дайте мне пинка под зад. - И больше ничего.
- Только пинка под зад...
Вождь дал Ваньке пинка под зад. Ванька из под полы достает ""Калашников"" и все племя косит... Американец спрашивает у русского:
- Почему же ты не вступился, когда убивали немца и француза? На что русский ответил:
- Русские люди - мирные люди. Нас не трогают - и мы не трогаем...","russian","0"
6,"Американец, француз и русский поспорили - кто всех храбрее?
- Мы, американцы, по жребию разыгрываем десять машин, причем у одной из них нет тормозов, и мчимся по горной дороге... Потом один лежит в больнице, а остальные девять его навещают.
- А мы у себя во Франции собираемся вдесятером, разыгрываем десять девушек, причем у одной из них сифилис... Потом один ложиться в больницу, а остальные девять его навещают.
- А у нас в России еще хлеще: рассказываем в компании политические анекдоты, причем все знаем,
что один из нас стукач. - А потом?
- А потом девять сидят, а один носит им передачи.","russian","1"
7,"Англичанин спрашивает жену:
- Скажите, дорогая Маргарет, вы изменяли мне за время нашей супружеской жизни?
- Дорогой Джон, в прошлом году, как вы могли заметить, у меня появилось норковое манто. Насколько я помню, вы мне его не покупали.
- Извините, дорогая.
Француз обращается к своей жене:
- Скажите, Жанна, изменяли ли вы мне за время нашей супружеской жизни?
- Дорогой Огюст, прошлым летом у меня появился ""Систроен"", на покупку которого вы мне денег не давали.
- Извините, дорогая. Русский спрашивает жену:
- Послушай, Клава, скажи мне, как на духу, изменяла ли ты мне за нашу совместную жизнь?
- Ты же помнишь, Федя, прошлым летом у нас пропали твои кирзовые сапоги...","russian","0"
8,"Летят в самолете англичанин, француз и русский. Высота - 10000 метров. Беседуют. Англичанин опустил руку за борт, потом посмотрел на нее и говорит:
- Над Англией летим!
- Откуда вы знаете, ведь под нами сплошные облака?
- У нас смог, знаете ли, вот и рука немного в саже!
Через некоторое время француз руку за борт опустил, а когда достал, говорит:
- Над Парижем летим! - А вы как узнали?
- Рука духами пахнет!
Русский руку опустил, достал и говорит:
- Над Россией летим!
- Почему вы так думаете?
- Часы и перстень сняли!","russian","0"
9,"Банкет по окончанию научного конгресса в Москве... Встает представитель итальянской делегации:
- Я предлагаю выпить за итальянца Маркони, изобретателя радио! Встает русский:
- Нифига! Первый радио изобрел русский ученый Попов! Выпьем лучше за него! Выпили, посидели... Встает представитель английской делегации:
- Я предлагаю выпить за братьев Райт, которые изобрели самолет! Встает русский:
- Нифига! Первым изобрел самолет русский инженер Можайский! Выпьем за него!
Выпили, посидели... Иностранные делегации посовещались между собой. Встает француз:
- Выпьем за французов, которые первыми изобрели оральный секс! Тут встает русский и говорит:
- Нифига! Еще Петр Первый в тысяча семьсот лохматом году говорил своим боярам: ""Я вас всех в рот #бу, и насквозь вижу!""
- кстати немцам о рентгене...","russian","0"
10,"Встречаются русский, американец и японец, ну и начали спорить у кого технологии круче. Американец и говорит:
- Вот у нас в Америке берем болванку, бац по болванке - автомобиль, бац по автомобилю -
болванка.
На что японец ему отвечает:
- У нас еще круче: берем болванку бац процессор, бац по процессору - болванка. Русский думал, думал и говорит:
- Ну ребята вы вообще по сравнению с нами в каменном веке! Мы берем болвана - бац генеральный секретарь, бац по генеральному секретарю - болван!","russian","2"
